,Transportation_Expense,Distance_to_Work,Age,Daily_Work_Load_Average,Body_Mass_Index,Education,Children,Pets,Sickness,Pregnancy,Injury,Doctors_Appt,Weekday,Month,Absenteeism_Time_in_Hours,Significant_Absence
375,260,50,36,239.40900000000002,23,0,4,0,0,0,0,1,1,7,3,0
376,330,16,28,239.40900000000002,25,1,0,0,0,0,0,1,1,7,4,1
377,369,17,31,239.40900000000002,25,0,3,0,0,0,0,1,2,10,4,1
378,248,25,47,239.40900000000002,32,0,2,1,0,0,0,1,2,10,4,1
379,330,16,28,239.40900000000002,25,1,0,0,0,0,0,1,0,12,8,1
380,179,51,38,239.40900000000002,31,0,0,0,0,0,0,1,0,12,8,1
381,118,13,50,239.40900000000002,31,0,1,0,0,0,0,1,0,4,1,0
382,118,13,50,239.40900000000002,31,0,1,0,1,0,0,0,2,4,120,1
383,300,26,43,239.40900000000002,25,0,2,1,0,0,0,1,4,4,8,1
384,260,50,36,239.40900000000002,23,0,4,0,0,0,0,1,4,4,4,1
385,179,51,38,239.40900000000002,31,0,0,0,0,0,0,1,0,4,4,1
386,118,10,37,239.40900000000002,28,0,0,0,1,0,0,0,2,4,2,0
387,235,20,43,246.074,38,0,1,0,1,0,0,0,3,1,16,1
388,248,25,47,246.074,32,0,2,1,0,0,0,1,6,3,2,0
389,369,17,31,246.074,25,0,3,0,1,0,0,0,5,8,8,1
390,179,26,30,246.074,19,1,0,0,0,0,0,1,3,10,3,0
391,179,51,38,246.074,31,0,0,0,0,0,0,1,3,10,4,1
392,361,52,28,246.074,27,0,1,4,0,0,0,1,6,11,1,0
393,260,50,36,246.074,23,0,4,0,0,0,0,1,1,12,3,0
394,179,22,40,246.074,22,1,2,0,1,0,0,0,0,5,2,0
395,179,22,40,246.074,22,1,2,0,1,0,0,0,0,5,3,0
396,228,14,58,246.074,22,0,2,1,0,0,1,0,2,5,8,1
397,225,26,28,246.074,24,0,1,2,0,0,0,1,2,5,3,0
398,330,16,28,246.074,25,1,0,0,1,0,0,0,4,5,8,1
399,179,26,30,246.074,19,1,0,0,0,0,0,1,0,5,2,0
400,118,10,37,246.074,28,0,0,0,0,0,0,1,0,5,1,0
401,235,11,37,246.074,29,1,1,1,1,0,0,0,0,5,8,1
402,179,26,30,246.074,19,1,0,0,0,0,0,1,2,5,3,0
403,118,10,37,253.957,28,0,0,0,0,0,0,1,5,5,3,0
404,179,51,38,253.957,31,0,0,0,0,0,0,1,5,5,3,0
405,118,10,37,253.957,28,0,0,0,0,0,0,1,1,6,2,0
406,225,26,28,253.957,24,0,1,2,0,0,0,1,6,8,4,1
407,260,50,36,253.957,23,0,4,0,0,0,0,1,2,9,4,1
408,291,31,40,253.957,25,0,1,1,1,0,0,0,2,12,40,1
409,179,51,38,253.957,31,0,0,0,0,0,0,1,2,12,24,1
410,246,25,41,253.957,23,0,0,0,0,0,0,1,1,6,3,0
411,179,51,38,253.957,31,0,0,0,0,0,0,1,0,6,4,1
412,235,20,43,253.957,38,0,1,0,0,0,0,1,1,6,8,1
413,179,51,38,253.957,31,0,0,0,0,0,0,1,0,6,2,0
414,225,26,28,253.957,24,0,1,2,0,0,0,1,2,6,2,0
415,118,13,50,253.957,31,0,1,0,0,0,0,1,2,6,2,0
416,179,51,38,253.957,31,0,0,0,1,0,0,0,2,6,8,1
417,179,26,30,253.957,19,1,0,0,0,0,1,0,2,6,2,0
418,246,25,41,253.957,23,0,0,0,0,0,0,1,4,6,2,0
419,330,16,28,253.957,25,1,0,0,1,0,0,0,1,6,1,0
420,235,11,37,253.957,29,1,1,1,1,0,0,0,1,6,8,1
421,179,26,30,230.29,19,1,0,0,0,0,0,1,2,6,2,0
422,225,26,28,230.29,24,0,1,2,0,0,0,1,2,6,4,1
423,260,50,36,230.29,23,0,4,0,1,0,0,0,4,7,8,1
424,268,11,33,230.29,25,1,0,0,1,0,0,0,5,10,8,1
425,330,16,28,230.29,25,1,0,0,0,0,0,1,4,7,8,1
426,118,10,37,230.29,28,0,0,0,0,0,0,1,4,7,8,1
427,260,50,36,230.29,23,0,4,0,0,0,0,1,0,7,4,1
428,118,10,37,230.29,28,0,0,0,0,0,0,1,1,7,8,1
429,300,26,43,230.29,25,0,2,1,0,1,0,0,0,7,8,1
430,235,29,48,230.29,33,0,1,5,0,0,0,1,0,7,1,0
431,246,25,41,230.29,23,0,0,0,0,0,0,1,1,7,2,0
432,225,26,28,230.29,24,0,1,2,1,0,0,0,1,7,112,1
433,179,51,38,230.29,31,0,0,0,0,0,0,1,1,7,1,0
434,118,13,50,230.29,31,0,1,0,0,0,0,1,4,7,1,0
435,361,52,28,230.29,27,0,1,4,0,0,0,1,4,7,8,1
436,289,36,33,230.29,30,0,2,1,0,0,0,1,0,7,8,1
437,235,20,43,230.29,38,0,1,0,0,0,0,1,0,7,8,1
438,291,31,40,230.29,25,0,1,1,0,0,0,1,3,7,1,0
439,279,5,39,230.29,24,0,2,0,0,0,0,1,3,7,2,0
440,179,51,38,249.797,31,0,0,0,0,0,0,1,2,3,4,1
441,179,22,40,249.797,22,1,2,0,0,0,0,1,5,7,1,0
442,246,25,41,249.797,23,0,0,0,0,0,0,1,1,8,4,1
443,118,10,37,249.797,28,0,0,0,0,0,0,1,1,8,4,1
444,289,36,33,249.797,30,0,2,1,0,0,0,1,1,8,8,1
445,235,20,43,249.797,38,0,1,0,0,0,0,1,1,8,8,1
446,291,31,40,249.797,25,0,1,1,0,0,0,1,6,10,4,1
447,179,51,38,249.797,31,0,0,0,0,0,0,1,0,8,4,1
448,179,22,40,249.797,22,1,2,0,0,0,0,1,1,8,8,1
449,330,16,28,249.797,25,1,0,0,0,0,0,1,3,8,16,1
450,235,11,37,249.797,29,1,1,1,0,0,0,1,1,8,4,1
451,246,25,41,249.797,23,0,0,0,0,0,0,1,1,8,1,0
452,118,10,37,249.797,28,0,0,0,0,0,0,1,1,8,5,1
453,291,31,40,249.797,25,0,1,1,0,0,0,1,3,8,2,0
454,260,50,36,249.797,23,0,4,0,0,0,0,1,0,8,3,0
455,246,25,41,261.756,23,0,0,0,0,0,0,1,1,5,1,0
456,118,10,37,261.756,28,0,0,0,0,0,0,1,1,5,3,0
457,155,12,34,261.756,25,0,2,0,0,0,0,1,1,5,2,0
458,291,31,40,261.756,25,0,1,1,0,0,0,1,6,7,2,0
459,179,26,30,261.756,19,1,0,0,0,0,0,1,2,8,8,1
460,248,25,47,261.756,32,0,2,1,0,0,0,1,2,8,1,0
461,179,51,38,261.756,31,0,0,0,0,0,0,1,3,11,4,1
462,225,26,28,261.756,24,0,1,2,0,0,0,1,2,9,1,0
463,179,26,30,261.756,19,1,0,0,0,0,0,1,0,9,2,0
464,369,17,31,261.756,25,0,3,0,0,0,0,1,1,9,8,1
465,361,52,28,261.756,27,0,1,4,0,0,0,1,1,9,8,1
466,289,48,49,284.853,36,0,0,2,1,0,0,0,2,5,1,0
467,235,16,32,284.853,25,1,0,0,1,0,0,0,2,5,3,0
468,246,25,41,284.853,23,0,0,0,0,0,0,1,5,6,8,1
469,289,48,49,284.853,36,0,0,2,1,0,0,0,4,11,3,0
470,291,31,40,284.853,25,0,1,1,0,0,0,1,4,11,2,0
471,118,10,37,284.853,28,0,0,0,0,0,0,1,1,10,2,0
472,289,48,49,284.853,36,0,0,2,0,0,0,1,3,10,2,0
473,291,31,40,284.853,25,0,1,1,0,0,0,1,4,10,1,0
474,225,26,28,284.853,24,0,1,2,0,0,0,1,1,10,2,0
475,369,17,31,284.853,25,0,3,0,0,0,0,1,1,10,8,1
476,369,17,31,284.853,25,0,3,0,0,0,0,1,1,10,3,0
477,225,26,28,284.853,24,0,1,2,0,0,0,1,1,10,4,1
478,369,17,31,284.853,25,0,3,0,0,0,0,1,1,10,8,1
479,179,51,38,284.853,31,0,0,0,0,0,0,1,2,10,3,0
480,228,14,58,284.853,22,0,2,1,1,0,0,0,2,10,1,0
481,291,31,40,284.853,25,0,1,1,0,0,0,1,2,10,1,0
482,369,17,31,284.853,25,0,3,0,1,0,0,0,3,10,8,1
483,225,26,28,284.853,24,0,1,2,1,0,0,0,3,10,1,0
484,369,17,31,284.853,25,0,3,0,1,0,0,0,4,10,8,1
485,225,26,28,284.853,24,0,1,2,1,0,0,0,4,10,3,0
486,189,29,33,284.853,25,0,2,2,0,0,0,1,6,10,8,1
487,235,16,32,284.853,25,1,0,0,1,0,0,0,6,10,8,1
488,248,25,47,284.853,32,0,2,1,1,0,0,0,6,10,8,1
489,225,26,28,284.853,24,0,1,2,1,0,0,0,1,10,3,0
490,179,51,38,268.519,31,0,0,0,0,0,1,0,1,7,1,0
491,118,10,37,268.519,28,0,0,0,0,0,0,1,4,8,3,0
492,330,16,28,268.519,25,1,0,0,1,0,0,0,4,8,24,1
493,179,51,38,268.519,31,0,0,0,0,0,0,1,2,10,1,0
494,118,10,37,268.519,28,0,0,0,1,0,0,0,1,11,8,1
495,289,36,33,268.519,30,0,2,1,0,0,0,1,2,11,8,1
496,235,16,32,268.519,25,1,0,0,1,0,0,0,4,11,8,1
497,225,26,28,268.519,24,0,1,2,0,0,0,1,4,11,4,1
498,361,52,28,268.519,27,0,1,4,0,0,0,1,1,11,8,1
499,291,31,40,268.519,25,0,1,1,0,0,0,1,2,11,2,0
500,118,10,37,268.519,28,0,0,0,1,0,0,0,3,11,2,0
501,225,26,28,268.519,24,0,1,2,1,0,0,0,3,11,3,0
502,179,51,38,268.519,31,0,0,0,0,0,0,1,0,11,1,0
503,118,10,37,268.519,28,0,0,0,0,0,0,1,0,11,8,1
504,118,10,37,268.519,28,0,0,0,1,0,0,0,1,11,8,1
505,225,26,28,268.519,24,0,1,2,0,0,0,1,1,11,2,0
506,248,25,47,268.519,32,0,2,1,1,0,0,0,3,11,4,1
507,225,26,28,268.519,24,0,1,2,0,0,0,1,4,11,2,0
508,369,17,31,268.519,25,0,3,0,0,0,0,1,4,11,8,1
509,361,52,28,268.519,27,0,1,4,0,0,0,1,0,11,2,0
510,179,51,38,280.54900000000004,31,0,0,0,1,0,0,0,4,5,32,1
511,291,31,40,280.54900000000004,25,0,1,1,0,0,0,1,0,6,1,0
512,225,26,28,280.54900000000004,24,0,1,2,0,0,0,1,0,6,3,0
513,179,26,30,280.54900000000004,19,1,0,0,1,0,0,0,5,8,1,0
514,225,26,28,280.54900000000004,24,0,1,2,0,0,0,1,5,8,3,0
515,225,26,28,280.54900000000004,24,0,1,2,0,0,0,1,2,12,3,0
516,361,52,28,280.54900000000004,27,0,1,4,1,0,0,0,3,12,4,1
517,179,22,40,280.54900000000004,22,1,2,0,0,0,1,0,4,12,2,0
518,235,20,43,280.54900000000004,38,0,1,0,0,0,0,1,4,12,8,1
519,233,51,31,280.54900000000004,21,1,1,8,0,0,1,0,0,12,8,1
520,179,26,30,280.54900000000004,19,1,0,0,1,0,0,0,1,12,16,1
521,225,26,28,280.54900000000004,24,0,1,2,0,0,0,1,1,12,2,0
522,225,26,28,280.54900000000004,24,0,1,2,0,0,0,1,3,12,3,0
523,225,26,28,280.54900000000004,24,0,1,2,0,0,0,1,0,12,2,0
524,155,12,34,280.54900000000004,25,0,2,0,0,0,1,0,1,12,80,1
525,179,26,30,313.532,19,1,0,0,1,0,0,0,0,1,24,1
526,179,26,30,313.532,19,1,0,0,1,0,0,0,6,4,16,1
527,179,22,40,313.532,22,1,2,0,0,0,0,1,6,4,2,0
528,179,22,40,313.532,22,1,2,0,0,0,0,1,1,5,2,0
529,179,26,30,313.532,19,1,0,0,1,0,0,0,2,8,3,0
530,179,22,40,313.532,22,1,2,0,0,0,0,1,0,10,2,0
531,289,48,49,313.532,36,0,0,2,1,0,0,0,3,11,8,1
532,179,22,40,313.532,22,1,2,0,0,0,1,0,5,12,3,0
533,179,26,30,313.532,19,1,0,0,0,0,0,1,0,1,2,0
534,155,12,34,313.532,25,0,2,0,0,0,1,0,1,1,8,1
535,179,26,30,313.532,19,1,0,0,0,0,0,1,2,1,2,0
536,179,51,38,313.532,31,0,0,0,0,0,0,1,2,1,3,0
537,289,36,33,313.532,30,0,2,1,1,0,0,0,2,1,8,1
538,179,51,38,313.532,31,0,0,0,0,0,0,1,3,1,3,0
539,179,51,38,313.532,31,0,0,0,0,0,0,1,4,1,2,0
540,179,51,38,264.249,31,0,0,0,1,0,0,0,5,6,8,1
541,225,26,28,264.249,24,0,1,2,0,0,0,1,5,6,3,0
542,248,25,47,264.249,32,0,2,1,1,0,0,0,0,7,8,1
543,179,51,38,264.249,31,0,0,0,0,0,0,1,0,7,2,0
544,225,26,28,264.249,24,0,1,2,0,0,0,1,3,8,3,0
545,179,51,38,264.249,31,0,0,0,0,0,0,1,3,8,2,0
546,179,26,30,264.249,19,1,0,0,0,0,0,1,3,8,2,0
547,225,15,41,264.249,28,1,2,2,0,0,0,1,6,9,2,0
548,179,51,38,264.249,31,0,0,0,0,0,0,1,6,9,2,0
549,233,51,31,264.249,21,1,1,8,0,0,1,0,6,12,2,0
550,179,51,38,264.249,31,0,0,0,0,0,0,1,6,12,2,0
551,225,26,28,264.249,24,0,1,2,1,0,0,0,1,2,8,1
552,179,51,38,264.249,31,0,0,0,0,0,0,1,2,2,3,0
553,179,51,38,264.249,31,0,0,0,0,0,0,1,3,2,3,0
554,225,26,28,264.249,24,0,1,2,0,0,0,1,3,2,3,0
555,179,26,30,264.249,19,1,0,0,1,0,0,0,3,2,2,0
556,179,22,40,264.249,22,1,2,0,0,0,0,1,4,2,2,0
557,179,51,38,264.249,31,0,0,0,0,0,0,1,4,2,3,0
558,233,51,31,264.249,21,1,1,8,1,0,0,0,2,2,3,0
559,179,26,30,264.249,19,1,0,0,0,0,0,1,2,2,2,0
560,179,51,38,264.249,31,0,0,0,0,0,0,1,2,2,2,0
561,179,51,38,264.249,31,0,0,0,1,0,0,0,3,2,8,1
562,179,51,38,264.249,31,0,0,0,0,0,0,1,4,2,2,0
563,155,12,34,264.249,25,0,2,0,0,0,0,1,0,2,5,1
564,235,16,32,264.249,25,1,0,0,0,0,0,1,0,2,3,0
565,179,51,38,264.249,31,0,0,0,0,0,0,1,0,2,2,0
566,225,26,28,264.249,24,0,1,2,1,0,0,0,0,2,2,0
567,179,51,38,264.249,31,0,0,0,0,0,0,1,1,2,2,0
568,248,25,47,264.249,32,0,2,1,0,0,0,1,1,2,2,0
569,225,26,28,264.249,24,0,1,2,0,0,0,1,1,2,2,0
570,179,51,38,264.249,31,0,0,0,0,0,0,1,2,2,2,0
571,179,51,38,264.249,31,0,0,0,0,0,0,1,3,2,2,0
572,235,16,32,264.249,25,1,0,0,0,0,0,1,4,2,2,0
573,179,51,38,222.196,31,0,0,0,0,0,0,1,3,5,2,0
574,248,25,47,222.196,32,0,2,1,0,0,0,1,3,5,2,0
575,228,14,58,222.196,22,0,2,1,0,0,0,1,6,6,3,0
576,248,25,47,222.196,32,0,2,1,0,0,0,1,6,6,3,0
577,228,14,58,222.196,22,0,2,1,1,0,0,0,6,6,112,1
578,179,51,38,222.196,31,0,0,0,0,0,0,1,1,7,2,0
579,225,26,28,222.196,24,0,1,2,0,0,0,1,4,8,2,0
580,179,51,38,222.196,31,0,0,0,0,0,0,1,4,8,3,0
581,225,26,28,222.196,24,0,1,2,0,0,0,1,4,8,2,0
582,179,26,30,222.196,19,1,0,0,0,0,0,1,0,9,3,0
583,235,16,32,222.196,25,1,0,0,0,0,0,1,0,12,3,0
584,361,52,28,222.196,27,0,1,4,0,0,1,0,0,12,8,1
585,179,51,38,222.196,31,0,0,0,1,0,0,0,1,3,8,1
586,179,51,38,222.196,31,0,0,0,0,0,0,1,2,3,2,0
587,179,51,38,222.196,31,0,0,0,0,0,0,1,3,3,3,0
588,179,26,30,222.196,19,1,0,0,0,0,0,1,4,3,2,0
589,179,51,38,222.196,31,0,0,0,1,0,0,0,0,3,4,1
590,248,25,47,222.196,32,0,2,1,1,0,0,0,0,3,2,0
591,179,51,38,222.196,31,0,0,0,0,0,0,1,0,3,3,0
592,225,26,28,222.196,24,0,1,2,1,0,0,0,0,3,8,1
593,179,51,38,222.196,31,0,0,0,0,0,0,1,1,3,2,0
594,289,36,33,222.196,30,0,2,1,0,0,0,1,2,3,8,1
595,228,14,58,222.196,22,0,2,1,0,0,0,1,2,3,2,0
596,179,51,38,222.196,31,0,0,0,0,0,0,1,2,3,2,0
597,248,25,47,222.196,32,0,2,1,0,0,0,1,3,3,3,0
598,179,51,38,222.196,31,0,0,0,0,0,0,1,3,3,3,0
599,179,26,30,222.196,19,1,0,0,0,0,0,1,4,3,2,0
600,179,51,38,222.196,31,0,0,0,0,0,0,1,4,3,3,0
601,179,51,38,222.196,31,0,0,0,0,0,0,1,1,3,3,0
602,118,15,46,222.196,25,0,2,0,0,0,0,1,2,3,8,1
603,155,12,34,222.196,25,0,2,0,1,0,0,0,2,3,24,1
604,179,51,38,222.196,31,0,0,0,0,0,0,1,2,3,3,0
605,179,51,38,222.196,31,0,0,0,0,0,0,1,3,3,3,0
606,179,26,30,222.196,19,1,0,0,1,0,0,0,0,3,2,0
607,289,36,33,222.196,30,0,2,1,0,0,1,0,0,3,104,1
608,369,17,31,222.196,25,0,3,0,0,0,0,1,2,3,8,1
609,225,26,28,246.28799999999998,24,0,1,2,1,0,0,0,6,2,8,1
610,118,10,37,246.28799999999998,28,0,0,0,1,0,0,0,6,2,8,1
611,361,52,28,246.28799999999998,27,0,1,4,0,0,1,0,6,3,8,1
612,248,25,47,246.28799999999998,32,0,2,1,0,0,1,0,2,4,8,1
613,189,29,33,246.28799999999998,25,0,2,2,1,0,0,0,4,5,8,1
614,179,26,30,246.28799999999998,19,1,0,0,0,0,0,1,0,6,2,0
615,369,17,31,246.28799999999998,25,0,3,0,1,0,0,0,1,9,24,1
616,179,22,40,246.28799999999998,22,1,2,0,0,1,0,0,3,10,2,0
617,118,13,50,246.28799999999998,31,0,1,0,0,0,0,1,3,10,3,0
618,361,52,28,246.28799999999998,27,0,1,4,0,0,0,1,3,10,2,0
619,118,10,37,246.28799999999998,28,0,0,0,1,0,0,0,6,11,2,0
620,235,11,37,246.28799999999998,29,1,1,1,0,0,0,1,4,4,8,1
621,179,26,30,246.28799999999998,19,1,0,0,0,0,0,1,4,4,2,0
622,225,26,28,246.28799999999998,24,0,1,2,0,0,1,0,0,4,8,1
623,235,16,32,246.28799999999998,25,1,0,0,0,1,0,0,1,4,3,0
624,179,26,30,246.28799999999998,19,1,0,0,0,0,0,1,4,4,2,0
625,155,12,34,246.28799999999998,25,0,2,0,0,0,0,1,1,4,4,1
626,225,26,28,246.28799999999998,24,0,1,2,0,0,1,0,3,4,8,1
627,118,13,50,246.28799999999998,31,0,1,0,1,0,0,0,3,4,2,0
628,179,26,30,246.28799999999998,19,1,0,0,0,0,0,1,4,4,2,0
629,235,11,37,237.65599999999998,29,1,1,1,0,0,0,1,3,7,8,1
630,225,15,41,237.65599999999998,28,1,2,2,0,0,1,0,2,9,3,0
631,235,16,32,237.65599999999998,25,1,0,0,0,0,0,1,2,9,2,0
632,118,10,37,237.65599999999998,28,0,0,0,1,0,0,0,2,9,3,0
633,235,20,43,237.65599999999998,38,0,1,0,0,0,0,1,2,9,8,1
634,179,26,30,237.65599999999998,19,1,0,0,1,0,0,0,4,10,1,0
635,291,31,40,237.65599999999998,25,0,1,1,0,0,0,1,4,10,2,0
636,225,15,41,237.65599999999998,28,1,2,2,1,0,0,0,4,10,8,1
637,300,26,43,237.65599999999998,25,0,2,1,0,0,1,0,0,11,64,1
638,225,15,41,237.65599999999998,28,1,2,2,0,0,0,1,0,11,8,1
639,179,26,30,237.65599999999998,19,1,0,0,0,0,0,1,0,11,2,0
640,118,13,50,237.65599999999998,31,0,1,0,0,0,0,1,0,5,2,0
641,118,13,50,237.65599999999998,31,0,1,0,1,0,0,0,1,5,3,0
642,118,10,37,237.65599999999998,28,0,0,0,0,0,0,1,1,5,1,0
643,179,26,30,237.65599999999998,19,1,0,0,0,0,0,1,2,5,2,0
644,179,22,40,237.65599999999998,22,1,2,0,0,1,0,0,4,5,1,0
645,155,12,34,237.65599999999998,25,0,2,0,1,0,0,0,0,5,48,1
646,235,16,32,237.65599999999998,25,1,0,0,1,0,0,0,0,5,8,1
647,291,31,40,237.65599999999998,25,0,1,1,0,0,0,1,2,5,8,1
648,179,22,40,237.65599999999998,22,1,2,0,1,0,0,0,2,5,8,1
649,225,26,28,237.65599999999998,24,0,1,2,1,0,0,0,2,5,3,0
650,330,16,28,237.65599999999998,25,1,0,0,1,0,0,0,3,5,8,1
651,235,16,32,237.65599999999998,25,1,0,0,0,0,0,1,3,5,2,0
652,291,31,40,237.65599999999998,25,0,1,1,0,0,0,1,3,5,2,0
